pos_code;foto_lokasi_bagian_depan;foto_lokasi_bagian_dalam;foto_tambahan_lokasi_pos;status_upload;timestamp
POS12056;https://drive.google.com/open?id=1O6V9bTgY7vpNB3S4CJqvdrYelWZ2YbP6;https://drive.google.com/open?id=14jPcQo4VHp5Z-h7hzrVXdnJRffltflOO;https://drive.google.com/open?id=1-pBVJzDF1xMbwdwYtQQWAWoqBfvyQwkf;APPROVE;2022-08-02
POS11671;https://drive.google.com/open?id=1xI7GZ3o7IrCtIvqVNvx0WbHYDgJKj4g8;https://drive.google.com/open?id=17ESESmItiF99vWYEGdyHwv1GArrYg9aV;https://drive.google.com/open?id=1Lj2w9TR-NpWFJ2zVWJYJPyLy8VXzhbDA;APPROVE;2022-08-02
POS12036;https://drive.google.com/open?id=1rT56SjSYWX1yKazWYCEFK3uExc2mpkml;https://drive.google.com/open?id=1jJGOjZm2gnOdf8xqp4yRhInuDSKP4sVH;https://drive.google.com/open?id=13fPveQWkEmDQrO8-mEutwxTUfTO6ddaW;APPROVE;2022-08-02
POS11935;https://drive.google.com/open?id=1J2wyUUvIpIncbgmKoldGWV6pToltCjYz;https://drive.google.com/open?id=1MoKjUwIlfKqIrE9grWCia3_e3bXgBkBI;https://drive.google.com/open?id=1Z_Mu1pD7eIWvqEhA5i7gwXFZ_0WicwwL;APPROVE;2022-08-02
POS11730;https://drive.google.com/open?id=1wo6Pnvb45d7R9peQ0gTeWCBqb12spD2M;https://drive.google.com/open?id=1_tLbboOlhEnVJVRuz1vwTJkH_GwRk0j3;https://drive.google.com/open?id=14IYf2COhmGQu5Mkm_qZ8PH_iwnQJu5-9;APPROVE;2022-08-02
POS11905;https://drive.google.com/open?id=1ANTwQxpsEv1buEaL6LlJdsgkGstghZA1;https://drive.google.com/open?id=15vcKUzjFLF8PcKszDxkexxPQGYwsOOMl;https://drive.google.com/open?id=1iEaEPnVYXZlg5hbS8WVrG1AesJQOtbhR;APPROVE;2022-08-02
POS12083;https://drive.google.com/open?id=1iOivk5VTPSYlxJRiwoolhZmkwK8gXOIX;https://drive.google.com/open?id=1i1ZddCDhqUyku9gYvvwoJG08drIVYFXW;https://drive.google.com/open?id=1VrmCdO4HhNeMCL9kaIhWR5XbBgCog9o1;APPROVE;2022-08-02
POS12030;https://drive.google.com/open?id=15xlCXHgFeBhP2diaYTukqwrkJ4clULzH;https://drive.google.com/open?id=1sOyhuYsWegJvpPw3Lbt4QauQZPZa9feI;https://drive.google.com/open?id=1xY3AKTxOh7xJjNxoq5y8i2WGQCHucqTr;APPROVE;2022-08-02
POS12058;https://drive.google.com/open?id=1M9RdmRG3MbZmOYEwm70L1gOE0EKN6M4_;https://drive.google.com/open?id=1muj9XnaJqHkP25IVwkX39pu3BvGa3wMP;https://drive.google.com/open?id=1biBQa29Ud-m7DMxj72DgqHzZxjXHdgGH;APPROVE;2022-08-02
POS11977;https://drive.google.com/open?id=1Mcxpd0Gg9_OMgyut0140c7v5gfayI4C2;https://drive.google.com/open?id=1DhxpNDeSvlIt-GdsbQRNzjypwfJBsZK6;https://drive.google.com/open?id=1Xx-y44z7E2VpoGf7fYmVrU5yf5FxGRzw;APPROVE;2022-08-03
POS11999;https://drive.google.com/open?id=1xAPCjMI791vIKp1yTODfdudK8vxFEEyf;https://drive.google.com/open?id=1erdgf2wIYW5MZnUgdvAvIOrJEnhD_kdr;https://drive.google.com/open?id=1o5BTSWqYnzhkz6LMTEUbG0Zi-DojIjqj;APPROVE;2022-08-03
POS11940;https://drive.google.com/open?id=1oQ0uTAfAD-3tVyxKQUjpMobGSDnfkb0X;https://drive.google.com/open?id=1-PmTGXhO5SFSJxXah5nKUpwWKiEM72pz;https://drive.google.com/open?id=1vdnfEpSwNBzhgKNM6vGcLOZeUMOCFoVG;APPROVE;2022-08-03
POS11934;https://drive.google.com/open?id=1YSUphYoZ_uPvoNdEwXPtsSsWVioOB581;https://drive.google.com/open?id=1zzV5TUBVolLhkPHLRDoQ1MRKByBsQRVh;https://drive.google.com/open?id=1EPJv_xOThsfESZ-Ura-XIB9uPPZwVeVV;APPROVE;2022-08-03
